AWS,Row Position,Column Position,name,DEM,Imerg,R500,SLHF,TCLW,TCWV
1.2000000476837158,2,119,20190401030000,14,2.4316487,12.362291,-499792.0,0.7581787,45.594345
0.20000000298023224,2,121,20190401030000,18,2.097529,12.362291,-499792.0,0.7581787,45.594345
1.2000000476837158,6,112,20190401030000,91,2.3709726,10.612291,-422032.0,0.5897827,43.39708
26.200000762939453,2,130,20190401030000,10,0.0,29.014635,-535696.0,0.46411133,45.60997
0.0,4,89,20190401040000,1113,0.0,3.9306383,-437940.0,0.38580322,30.079895
0.0,6,64,20190401040000,1104,0.0,3.0322008,-800948.0,0.10644531,25.968567
0.0,7,167,20190401040000,0,0.0,33.004856,-653556.0,0.043823242,43.247864
0.0,12,39,20190401040000,487,0.0,3.739232,-777844.0,0.061340332,25.818176
0.0,17,21,20190401040000,1091,0.0,4.7157946,-768372.0,0.08300781,22.386536
0.0,26,122,20190401040000,11,0.0,26.37595,-429556.0,0.68188477,49.80841
0.0,28,134,20190401040000,0,0.0,19.723606,-171700.0,0.13946533,46.236145
0.0,32,138,20190401040000,0,0.0,13.684545,-191540.0,0.19647217,45.74005
0.0,44,71,20190401040000,729,0.0,5.829076,-727284.0,0.12438965,21.003723
0.0,46,164,20190401040000,32767,0.0,15.676732,-175668.0,0.12921143,43.525208
0.0,52,97,20190401040000,126,0.0,11.411107,-645812.0,0.8607178,43.199036
0.0,55,23,20190401040000,416,0.0,3.395482,-953332.0,0.049987793,32.73224
0.0,57,204,20190401040000,204,0.0,7.750951,-1144372.0,0.20324707,36.74005
0.0,68,61,20190401040000,171,0.0,18.793919,-594420.0,0.09436035,41.353333
0.0,71,195,20190401040000,0,0.0,15.274388,-218868.0,0.097473145,44.992004
0.0,79,228,20190401040000,32767,0.0,85.72361,-268596.0,0.109802246,50.8006
0.0,84,30,20190401040000,242,0.0,4.8837633,-743348.0,0.056884766,42.73419
0.0,17,172,20190401040000,0,0.0,19.793919,-698036.0,0.04272461,42.411926
0.0,47,31,20190401040000,498,0.0,4.344701,-1121012.0,0.096191406,27.361145
0.0,25,62,20190401040000,1300,0.0,4.661107,-863412.0,0.11291504,22.294739
1.100000023841858,18,102,20190401040000,331,0.0,3.0126696,-533876.0,0.6329956,35.54669
1.399999976158142,0,118,20190401040000,12,2.04,13.153295,-351092.0,0.8088989,45.525208
1.2000000476837158,13,104,20190401040000,887,0.0,4.004857,-473332.0,0.67004395,39.3631
0.8999999761581421,0,119,20190401040000,14,2.04,13.153295,-351092.0,0.8088989,45.525208
18.600000381469727,12,119,20190401040000,20,5.2599998,12.473607,-440436.0,0.80474854,46.03888
0.20000000298023224,35,113,20190401040000,94,0.0,34.23923,-470132.0,0.82025146,47.472473
13.600000381469727,13,115,20190401040000,116,5.08,6.469701,-471092.0,0.7859497,43.284973
0.699999988079071,14,127,20190401040000,12,9.179999,17.430637,-438004.0,0.8036499,47.60919
14.399999618530273,15,115,20190401040000,138,0.45999998,6.469701,-471092.0,0.7859497,43.284973
0.20000000298023224,16,105,20190401040000,444,0.0,4.004857,-473332.0,0.67004395,39.3631
3.200000047683716,16,109,20190401040000,350,0.0,6.469701,-471092.0,0.7859497,43.284973
1.0,1,120,20190401040000,21,2.06,13.153295,-351092.0,0.8088989,45.525208
2.799999952316284,21,109,20190401040000,60,0.0,12.422826,-490804.0,0.73602295,45.486145
1.0,24,106,20190401040000,97,0.0,11.883763,-460276.0,0.6897583,41.3631
13.399999618530273,0,128,20190401040000,11,8.24,19.551731,-541556.0,0.517334,45.392395
0.20000000298023224,37,113,20190401040000,56,0.0,35.91892,-541812.0,0.9244995,47.122864
0.6000000238418579,44,104,20190401040000,89,0.0,19.465794,-557364.0,0.89990234,45.01935
0.20000000298023224,54,102,20190401040000,32,0.0,11.411107,-645812.0,0.8607178,43.199036
1.399999976158142,4,121,20190401040000,10,2.04,13.153295,-351092.0,0.8088989,45.525208
4.199999809265137,4,117,20190401040000,12,5.06,13.153295,-351092.0,0.8088989,45.525208
0.8999999761581421,4,111,20190401040000,230,0.0,9.598607,-330868.0,0.63305664,43.841614
5.599999904632568,3,121,20190401040000,39,2.04,13.153295,-351092.0,0.8088989,45.525208
1.600000023841858,3,115,20190401040000,12,0.0,9.598607,-330868.0,0.63305664,43.841614
21.0,2,130,20190401040000,10,10.599999,19.551731,-541556.0,0.517334,45.392395
7.599999904632568,9,119,20190401040000,8,9.88,15.243138,-406836.0,0.7861328,45.966614
3.0,2,123,20190401040000,12,2.06,15.340795,-402100.0,0.69714355,44.5506
27.200000762939453,0,137,20190401040000,12,14.98,24.93845,-665460.0,0.31573486,46.023254
2.799999952316284,13,120,20190401040000,61,0.22,12.473607,-440436.0,0.80474854,46.03888
0.800000011920929,0,122,20190401040000,15,2.08,15.340795,-402100.0,0.69714355,44.5506
1.2000000476837158,9,108,20190401040000,226,0.52,5.6532946,-436404.0,0.7394409,38.454895
6.400000095367432,84,124,20190401040000,259,0.0,25.1572,-878516.0,0.16711426,36.900208
0.6000000238418579,67,121,20190401040000,258,0.0,19.200169,-824372.0,0.16052246,45.03888
0.4000000059604645,2,121,20190401040000,18,2.04,13.153295,-351092.0,0.8088989,45.525208
